obs_id,step,side,submission_price,queue_ahead,order_size,mid_price,spread,spread_bps,bid_depth,ask_depth,queue_imbalance,microprice_deviation,recent_signed_trade_flow,recent_trade_volume,recent_volatility,recent_mid_move,filled,censored,time_to_fill,fill_step,fill_price,fill_event,trade_depletion_share,adverse_fill,markout_10,markout_50,markout_100,markout_500,side_is_buy,signed_queue_imbalance,signed_recent_trade_flow,signed_microprice_deviation
1_buy,1,buy,9998.0,22.0,5,9999.5,3.0,3.000150007500375,110.0,95.0,0.07317073170731707,0.10975609756133053,0.0,0.0,0.0,0.0,1,0,29.0,30.0,9998.0,cancel_proxy,0.6571428571428571,0.0,1.5,1.5,1.5,2.728598564532149,1,0.07317073170731707,0.0,0.10975609756133053
1_sell,1,sell,10001.0,19.0,5,9999.5,3.0,3.000150007500375,110.0,95.0,0.07317073170731707,0.10975609756133053,0.0,0.0,0.0,0.0,1,0,25.0,26.0,10001.0,trade,0.96,0.0,1.5,1.5,1.5,0.25715532942922437,0,-0.07317073170731707,-0.0,-0.10975609756133053
2_buy,2,buy,9998.0,22.200000000000003,5,9999.5,3.0,3.000150007500375,111.0,95.0,0.07766990291262135,0.11650485436803137,0.0,0.0,0.0,0.0,1,0,28.0,30.0,9998.0,cancel_proxy,0.6571428571428571,0.0,1.5,1.5,1.5,2.728598564532149,1,0.07766990291262135,0.0,0.11650485436803137
2_sell,2,sell,10001.0,19.0,5,9999.5,3.0,3.000150007500375,111.0,95.0,0.07766990291262135,0.11650485436803137,0.0,0.0,0.0,0.0,1,0,24.0,26.0,10001.0,trade,0.96,0.0,1.5,1.5,1.5,0.25715532942922437,0,-0.07766990291262135,-0.0,-0.11650485436803137
3_buy,3,buy,9998.0,22.200000000000003,5,9999.5,3.0,3.000150007500375,111.0,83.0,0.14432989690721648,0.21649484536101227,12.0,12.0,0.0,0.0,1,0,27.0,30.0,9998.0,cancel_proxy,0.6571428571428571,0.0,1.5,1.5,1.5,2.728598564532149,1,0.14432989690721648,12.0,0.21649484536101227
3_sell,3,sell,10001.0,16.6,5,9999.5,3.0,3.000150007500375,111.0,83.0,0.14432989690721648,0.21649484536101227,12.0,12.0,0.0,0.0,1,0,35.0,38.0,10001.0,trade,0.9565217391304348,0.0,1.5,1.5,1.230832843157259,0.29743549693557725,0,-0.14432989690721648,-12.0,-0.21649484536101227
4_buy,4,buy,9998.0,23.6,5,9999.5,3.0,3.000150007500375,118.0,83.0,0.17412935323383086,0.26119402985023044,12.0,12.0,0.0,0.0,1,0,26.0,30.0,9998.0,cancel_proxy,0.6571428571428571,0.0,1.5,1.5,1.5,2.728598564532149,1,0.17412935323383086,12.0,0.26119402985023044
4_sell,4,sell,10001.0,16.6,5,9999.5,3.0,3.000150007500375,118.0,83.0,0.17412935323383086,0.26119402985023044,12.0,12.0,0.0,0.0,1,0,34.0,38.0,10001.0,trade,0.9565217391304348,0.0,1.5,1.5,1.230832843157259,0.29743549693557725,0,-0.17412935323383086,-12.0,-0.26119402985023044
5_buy,5,buy,9998.0,25.0,5,9999.5,3.0,3.000150007500375,125.0,83.0,0.20192307692307693,0.3028846153847553,12.0,12.0,0.0,0.0,1,0,25.0,30.0,9998.0,cancel_proxy,0.6571428571428571,0.0,1.5,1.5,1.5,2.728598564532149,1,0.20192307692307693,12.0,0.3028846153847553
5_sell,5,sell,10001.0,16.6,5,9999.5,3.0,3.000150007500375,125.0,83.0,0.20192307692307693,0.3028846153847553,12.0,12.0,0.0,0.0,1,0,33.0,38.0,10001.0,trade,0.9565217391304348,0.0,1.5,1.5,1.230832843157259,0.29743549693557725,0,-0.20192307692307693,-12.0,-0.3028846153847553
6_buy,6,buy,9998.0,24.200000000000003,5,9999.5,3.0,3.000150007500375,121.0,83.0,0.18627450980392157,0.27941176470631035,8.0,16.0,0.0,0.0,1,0,24.0,30.0,9998.0,cancel_proxy,0.6129032258064516,0.0,1.5,1.5,1.5,2.728598564532149,1,0.18627450980392157,8.0,0.27941176470631035
6_sell,6,sell,10001.0,16.6,5,9999.5,3.0,3.000150007500375,121.0,83.0,0.18627450980392157,0.27941176470631035,8.0,16.0,0.0,0.0,1,0,32.0,38.0,10001.0,trade,0.9565217391304348,0.0,1.5,1.5,1.230832843157259,0.29743549693557725,0,-0.18627450980392157,-8.0,-0.27941176470631035
7_buy,7,buy,9998.0,22.400000000000002,5,9999.5,3.0,3.000150007500375,112.0,83.0,0.14871794871794872,0.22307692307731486,-1.0,25.0,0.0,0.0,1,0,46.0,53.0,9998.0,cancel_proxy,0.2777777777777778,0.0,1.5,1.5,6.910254145124782,2.661475560385952,1,0.14871794871794872,-1.0,0.22307692307731486
7_sell,7,sell,10001.0,16.6,5,9999.5,3.0,3.000150007500375,112.0,83.0,0.14871794871794872,0.22307692307731486,-1.0,25.0,0.0,0.0,1,0,31.0,38.0,10001.0,trade,0.9565217391304348,0.0,1.5,1.5,1.230832843157259,0.29743549693557725,0,-0.14871794871794872,1.0,-0.22307692307731486
